Sf,VCME,Bz,Vsw,Kp,Lat,Lcable,risk_score,risk_category
2,420.7,-1.63,549.9,5.51,15.44,869.4,0.3786,Medium
2,1253.9,-2.36,386.0,6.55,-39.28,189.2,0.5902,Medium
1,549.3,-6.59,259.0,2.84,20.56,1201.7,0.2246,Low
1,452.9,-3.99,496.0,7.19,27.63,348.8,0.4034,Medium
1,497.8,6.62,679.5,6.83,16.87,919.9,0.3548,Medium
1,1428.6,-6.11,773.7,1.65,5.17,692.9,0.2603,Low
3,2314.3,-0.63,250.0,6.28,58.42,336.7,0.8776,High
1,399.1,-8.25,496.7,3.13,39.87,624.7,0.2647,Low
2,1229.7,-4.64,539.1,3.23,54.44,227.6,0.5055,Medium
2,1091.4,6.36,476.1,2.8,54.8,246.2,0.4315,Medium
2,334.3,0.3,584.6,6.67,57.09,2688.8,0.5227,Medium
2,1016.0,-10.52,418.2,5.49,55.39,1483.4,0.6155,Medium
1,274.1,1.33,426.8,5.35,30.22,3393.0,0.3015,Low
2,909.4,-3.7,609.7,3.05,-1.94,871.0,0.3187,Low
1,877.9,7.72,591.2,9.0,8.21,1460.7,0.4478,Medium
1,250.0,2.54,508.4,1.86,-16.68,693.7,0.1404,Low
1,500.7,2.82,328.7,2.19,60.09,171.9,0.2344,Low
2,405.0,9.6,494.2,6.25,1.49,156.5,0.3557,Medium
1,559.9,-2.61,529.7,1.08,30.29,233.7,0.1662,Low
1,496.2,-5.05,435.7,2.73,16.38,2708.4,0.2114,Low
1,1553.1,6.68,259.7,1.95,24.92,1452.3,0.2972,Low
2,447.3,-2.13,564.0,5.3,15.04,728.7,0.3759,Medium
2,1051.7,-0.47,520.5,3.83,51.8,101.0,0.4711,Medium
1,799.7,-5.43,532.2,2.73,56.99,154.9,0.3178,Low
1,620.6,-1.56,494.0,2.51,38.72,267.5,0.2406,Low
2,274.7,2.73,659.8,7.03,13.78,400.7,0.4056,Medium
1,340.0,0.19,327.4,4.92,57.06,833.4,0.3415,Medium
1,433.4,-1.96,538.2,5.72,30.66,535.8,0.3422,Medium
1,345.2,-3.34,618.9,1.03,69.17,425.7,0.1793,Low
1,323.7,2.77,532.8,0.0,37.05,166.5,0.0893,Low
1,412.9,-3.56,473.7,0.61,-32.81,193.4,0.1338,Low
3,250.0,8.22,599.5,8.99,14.23,242.9,0.5515,Medium
1,432.0,4.79,533.9,1.77,38.51,1664.8,0.1804,Low
2,858.2,-12.97,500.2,7.27,40.47,481.8,0.6516,Medium
3,482.9,-0.55,573.8,2.28,-1.17,435.3,0.3006,Low
2,822.0,0.69,318.9,8.18,41.23,326.7,0.6043,Medium
1,428.3,-1.32,648.0,1.69,32.7,507.6,0.1755,Low
1,1216.5,-0.08,456.0,1.61,35.33,262.0,0.2633,Low
1,402.0,-2.19,658.8,2.05,0.23,1342.2,0.1521,Low
1,556.2,1.92,257.9,5.3,10.76,546.5,0.29,Low
1,788.0,-15.62,497.2,6.06,33.68,1135.6,0.4476,Medium
2,400.9,-0.27,564.3,7.29,4.44,449.5,0.4009,Medium
2,303.1,5.87,425.8,7.7,1.04,564.7,0.3934,Medium
2,997.9,-2.72,519.2,2.13,23.58,1727.7,0.3366,Medium
1,380.5,-0.34,383.2,1.99,56.65,3851.3,0.2051,Low
2,783.4,1.28,250.0,2.79,73.88,4415.9,0.4311,Medium
1,448.9,3.4,672.1,0.49,10.47,376.7,0.1048,Low
2,381.5,4.78,558.6,7.5,56.63,476.4,0.5679,Medium
3,871.9,-1.09,326.8,1.57,4.12,1237.2,0.3208,Low
2,632.3,-5.44,468.0,6.26,32.46,232.0,0.5016,Medium
3,550.8,0.27,571.7,2.25,-7.38,388.3,0.3157,Low
1,608.4,12.19,747.7,0.54,7.59,542.0,0.1199,Low
1,410.6,1.78,521.9,6.4,38.9,1306.4,0.3804,Medium
1,348.5,-5.37,640.3,1.85,-5.59,2414.7,0.1568,Low
2,461.6,0.1,476.3,7.18,61.08,1984.4,0.577,Medium
1,414.5,-0.75,482.9,7.26,35.88,136.9,0.4131,Medium
1,544.9,3.38,426.4,3.12,7.7,170.7,0.2052,Low
3,1858.3,15.0,317.5,5.36,13.24,162.4,0.5782,Medium
1,1799.7,5.18,537.2,2.69,28.45,925.4,0.3623,Medium
1,529.1,1.03,469.9,6.76,24.42,1213.1,0.3743,Medium
1,399.1,0.96,624.7,3.06,17.3,223.1,0.2024,Low
1,393.5,12.66,672.5,0.49,44.63,196.1,0.1243,Low
1,663.2,-0.45,612.6,6.02,35.95,273.9,0.3894,Medium
2,458.8,-0.84,543.1,1.58,-2.91,627.7,0.21,Low
1,331.1,-6.37,477.7,1.92,11.62,740.9,0.1626,Low
3,511.1,-13.15,584.3,6.12,-3.27,1638.5,0.5529,Medium
1,461.7,-9.53,461.7,7.52,19.21,595.0,0.4087,Medium
2,789.2,-3.88,537.5,2.46,56.5,302.2,0.4085,Medium
1,501.5,-14.01,440.5,5.38,14.61,2377.0,0.3301,Medium
2,767.0,-0.43,545.5,7.55,74.32,1823.7,0.6865,High
1,383.1,0.46,592.6,2.37,33.33,1532.8,0.1942,Low
1,354.9,-2.35,498.8,5.98,53.1,221.4,0.3945,Medium
1,527.4,-2.45,404.9,3.16,-38.45,1133.9,0.2591,Low
2,618.4,8.74,630.6,5.29,53.28,490.3,0.4839,Medium
2,559.2,1.09,522.1,7.25,15.28,538.8,0.4477,Medium
3,1358.8,0.23,595.1,5.24,46.21,303.5,0.6473,Medium
1,395.6,-2.8,513.4,5.07,35.08,2448.3,0.3225,Low
1,1365.4,-10.14,508.5,1.17,27.22,2935.7,0.2802,Low
3,1714.1,3.61,269.7,3.28,18.45,602.4,0.5054,Medium
1,393.2,-14.31,439.4,4.0,59.03,113.2,0.3535,Medium
1,493.4,-16.49,462.7,5.96,25.77,762.9,0.3875,Medium
1,680.3,1.43,546.2,5.41,13.2,721.3,0.3118,Low
2,1758.3,-1.78,522.0,2.09,27.73,3106.7,0.4244,Medium
2,885.1,-6.5,499.9,6.63,54.28,857.5,0.6325,Medium
1,306.6,0.08,497.4,4.19,32.18,177.5,0.26,Low
3,1543.1,1.89,417.0,2.27,-13.74,362.4,0.4337,Medium
2,859.6,1.7,540.0,8.33,55.68,780.6,0.6691,High
1,1268.4,0.74,645.1,2.05,23.47,347.7,0.2667,Low
1,402.4,-3.54,436.0,3.82,-37.22,642.0,0.2742,Low
2,370.1,2.61,375.5,6.27,11.94,999.1,0.382,Medium
1,1217.6,0.21,490.5,6.28,-15.86,277.7,0.4067,Medium
1,251.3,-9.19,492.4,3.51,8.97,2326.8,0.2164,Low
2,692.8,-0.17,424.4,3.72,-18.83,141.0,0.3389,Medium
1,632.0,-1.77,250.0,2.02,-8.05,3249.8,0.1777,Low
1,521.3,-6.9,303.9,3.35,-23.54,313.6,0.2488,Low
1,543.0,5.94,363.4,2.97,56.11,171.8,0.2725,Low
1,366.7,2.75,459.1,8.61,-0.54,453.5,0.3613,Medium
2,552.7,-2.64,524.2,1.77,27.73,310.9,0.2804,Low
2,284.3,-6.33,454.2,2.93,17.16,575.9,0.2939,Low
2,723.6,0.67,559.2,1.26,-49.49,719.1,0.2996,Low
2,354.2,-1.71,720.8,2.21,-1.32,464.2,0.2269,Low
2,642.5,-1.01,257.4,0.82,57.37,143.0,0.2844,Low
3,392.4,-0.93,395.6,1.52,28.39,202.1,0.3251,Low
2,1166.2,-0.88,640.3,5.21,-5.04,541.0,0.4086,Medium
1,568.5,-9.82,529.6,2.92,8.99,229.7,0.2303,Low
1,454.9,-1.36,250.0,2.43,56.36,1266.1,0.2375,Low
1,292.0,5.83,482.5,6.92,66.8,269.0,0.4551,Medium
1,250.0,-2.89,608.4,7.5,-45.09,2332.1,0.4367,Medium
1,505.9,-4.88,391.6,7.96,-17.28,458.2,0.4103,Medium
1,473.0,8.85,250.0,6.67,48.25,827.7,0.4229,Medium
1,845.7,3.8,670.9,6.14,34.9,651.5,0.4117,Medium
1,505.0,2.81,544.9,1.92,12.25,887.3,0.1644,Low
1,1200.3,5.18,688.2,6.8,53.02,654.0,0.5366,Medium
2,580.7,0.05,469.0,2.74,45.76,215.6,0.3422,Medium
1,914.4,10.62,362.3,5.18,-5.69,464.2,0.3096,Low
1,538.4,-11.76,467.4,6.32,26.19,1574.0,0.3952,Medium
2,321.4,0.37,507.9,2.38,27.4,289.0,0.2618,Low
2,385.7,-1.16,488.4,2.25,25.92,602.8,0.2678,Low
1,573.8,2.81,725.8,1.35,47.58,1545.3,0.1893,Low
2,287.7,6.61,525.9,7.01,48.08,493.1,0.5064,Medium
1,572.2,-4.88,296.2,2.3,35.94,673.6,0.2263,Low
1,508.8,-4.13,590.0,1.72,54.29,153.7,0.2229,Low
1,250.0,-11.83,639.2,5.29,14.13,1347.0,0.3073,Low
1,844.6,-1.13,475.7,7.24,60.09,243.3,0.5346,Medium
3,1403.8,-5.29,497.1,6.29,58.08,1409.7,0.8076,High
1,375.8,12.32,623.8,1.11,13.09,355.5,0.1222,Low
1,250.0,1.54,616.6,6.32,6.14,628.1,0.286,Low
1,552.8,-6.39,529.1,5.05,38.57,907.4,0.3603,Medium
3,2405.3,-0.73,434.5,1.55,43.56,2577.4,0.6088,Medium
3,1045.1,0.61,529.2,3.11,26.22,2401.6,0.451,Medium
1,583.4,1.5,526.4,1.37,-21.14,776.5,0.1619,Low
1,732.0,12.97,472.4,6.26,2.3,848.4,0.321,Low
2,509.8,-0.91,525.4,6.05,-15.81,2633.1,0.4045,Medium
2,759.5,4.32,475.8,0.91,53.5,1020.6,0.2944,Low
2,504.4,-3.96,442.1,7.03,30.77,146.4,0.5034,Medium
2,549.4,0.89,439.3,6.26,60.46,195.8,0.5416,Medium
1,329.7,-3.25,668.4,6.22,-18.61,1792.0,0.3306,Medium
1,519.9,5.37,483.8,6.51,10.56,148.7,0.3296,Low
2,831.4,-0.06,487.7,2.23,-10.89,306.0,0.2797,Low
1,513.3,3.77,569.0,4.74,36.28,331.2,0.3152,Low
2,414.2,10.45,669.7,7.42,-0.97,3974.6,0.3942,Medium
2,320.8,-7.33,481.1,5.27,-8.48,3520.8,0.3696,Medium
2,462.9,2.14,327.2,6.68,11.27,375.2,0.4044,Medium
2,927.7,4.73,582.4,6.43,29.02,548.9,0.5001,Medium
2,599.5,-2.36,628.3,2.67,14.61,3330.3,0.296,Low
2,951.2,1.7,494.4,2.91,35.27,750.6,0.3727,Medium
3,1112.8,1.22,549.1,6.34,31.34,1000.3,0.6085,Medium
1,289.5,-0.76,631.1,1.81,47.38,225.3,0.1773,Low
1,778.5,0.09,251.1,2.97,26.69,131.4,0.2546,Low
3,1499.8,-2.17,622.3,6.6,-9.64,2934.1,0.5938,Medium
2,513.4,2.25,573.0,1.81,33.98,377.8,0.2713,Low
1,347.2,-1.67,481.3,6.78,56.22,2195.2,0.4365,Medium
1,417.7,-2.7,549.4,1.07,66.71,3669.0,0.1849,Low
1,501.6,0.26,455.6,7.07,40.18,2611.8,0.4244,Medium
3,326.0,0.01,511.0,8.13,-32.05,187.2,0.5949,Medium
1,631.4,-3.26,492.2,2.47,55.69,2777.3,0.2715,Low
2,250.0,3.42,429.5,0.99,37.63,1465.1,0.2102,Low
1,604.8,-3.25,495.4,2.75,24.21,858.9,0.2325,Low
1,495.3,-0.17,523.3,5.92,-6.97,2831.2,0.2984,Low
1,250.0,4.4,330.9,1.51,51.85,329.8,0.1591,Low
2,1388.3,-3.74,720.0,2.24,17.23,140.4,0.3819,Medium
3,1297.6,-0.38,579.2,8.23,-23.9,4735.9,0.6791,High
1,406.1,0.61,584.0,6.19,6.75,1722.6,0.298,Low
2,414.3,-2.01,607.7,5.83,50.73,211.8,0.4927,Medium
1,274.3,-13.56,546.0,7.35,-35.98,405.4,0.446,Medium
1,525.9,-8.88,527.3,6.47,43.73,1438.3,0.4409,Medium
1,502.7,-3.13,483.1,6.46,60.11,473.1,0.4567,Medium
1,324.1,5.85,562.4,1.45,19.02,2353.0,0.1352,Low
3,418.4,1.27,566.8,6.83,33.7,374.5,0.5567,Medium
2,602.1,10.52,526.5,1.94,-8.85,193.3,0.242,Low
1,476.0,-0.08,580.4,6.62,-1.18,218.5,0.3067,Low
1,440.3,5.33,454.7,1.95,-6.68,343.5,0.1524,Low
1,293.9,-0.36,410.3,1.66,57.73,641.7,0.1787,Low
1,533.2,-9.47,533.1,3.24,-11.39,232.0,0.2416,Low
2,325.5,-10.51,562.8,3.49,-6.09,584.3,0.3264,Low
3,837.1,-5.71,355.4,2.89,28.67,2264.4,0.4628,Medium
1,402.2,-1.54,504.5,1.13,2.72,2762.8,0.1201,Low
1,250.0,3.55,470.7,6.28,57.11,143.7,0.3953,Medium
1,328.6,-3.04,600.3,6.04,23.01,191.4,0.3311,Medium
1,755.5,14.78,407.8,1.74,75.0,3875.1,0.2667,Low
1,304.3,1.15,706.6,5.34,14.43,836.8,0.2734,Low
2,1142.2,-6.69,597.3,2.23,-9.69,287.3,0.3508,Medium
1,444.0,-3.04,448.3,2.34,57.68,269.7,0.2411,Low
1,409.4,-0.04,453.8,6.3,0.67,195.9,0.2883,Low
2,283.8,0.1,463.5,0.73,33.13,140.5,0.1974,Low
3,1102.6,-0.71,682.0,3.7,-16.19,4899.9,0.4573,Medium
1,434.3,0.02,561.7,2.64,1.9,623.5,0.1697,Low
2,251.6,8.68,407.0,1.35,-19.8,198.5,0.2012,Low
1,347.9,-1.47,513.5,6.93,56.8,227.2,0.4448,Medium
2,811.1,-11.9,484.8,5.72,22.14,328.8,0.5049,Medium
1,443.6,-3.21,641.8,2.74,38.65,193.2,0.2376,Low
2,861.4,1.82,485.1,1.48,-2.33,2186.0,0.2391,Low
2,437.0,-3.86,511.7,0.59,30.1,1023.1,0.2301,Low
1,356.0,-3.38,383.1,8.82,43.49,1298.4,0.502,Medium
3,536.1,-0.78,250.0,8.28,3.73,1094.2,0.5159,Medium
1,349.8,7.28,520.3,7.25,1.05,247.3,0.3156,Low
2,272.8,-0.3,527.3,3.2,-6.33,1563.2,0.2511,Low
1,395.9,-6.09,648.6,2.36,55.77,103.0,0.2516,Low
