Fpeak,Fsoft,Fhard,Dflare,Hratio,flare_class,source
-5.0,-5.078885,-4.689918,480.0,2.603704,M,NASA_DONKI
-4.744727,-4.876939,-4.63073,2160.0,1.672717,M,NASA_DONKI
-4.79588,-4.940258,-4.629597,1080.0,1.84297,M,NASA_DONKI
-5.60206,-5.649389,-5.391061,2160.0,1.640526,C,NASA_DONKI
-4.920819,-5.040884,-4.742857,840.0,2.057083,M,NASA_DONKI
-4.677781,-4.814405,-4.612891,900.0,1.455897,M,NASA_DONKI
-5.638272,-5.785831,-5.64144,480.0,1.386753,C,NASA_DONKI
-4.886057,-5.031259,-4.747869,1440.0,1.957118,M,NASA_DONKI
-4.79588,-4.935524,-4.784665,780.0,1.498591,M,NASA_DONKI
-4.026872,-4.190091,-3.922983,2340.0,1.832363,M,NASA_DONKI
-4.769551,-4.88686,-4.581901,3660.0,2.282954,M,NASA_DONKI
-4.79588,-4.974663,-4.67198,1440.0,2.199688,M,NASA_DONKI
-4.481486,-4.642574,-4.333693,1020.0,1.952199,M,NASA_DONKI
-5.657577,-5.817923,-5.514449,3960.0,2.01495,C,NASA_DONKI
-4.244125,-4.373682,-4.092006,2760.0,2.024515,M,NASA_DONKI
-4.958607,-5.230837,-4.949702,540.0,1.943571,M,NASA_DONKI
-5.0,-5.10159,-4.879333,960.0,1.659712,M,NASA_DONKI
-4.552842,-4.852461,-4.424802,1080.0,2.469165,M,NASA_DONKI
-4.920819,-5.10344,-4.834042,1860.0,1.957278,M,NASA_DONKI
-4.055517,-4.195009,-3.722144,720.0,3.062959,M,NASA_DONKI
-3.823909,-3.874949,-3.588851,3000.0,2.082818,X,NASA_DONKI
-5.0,-5.238357,-4.961617,540.0,1.969081,M,NASA_DONKI
-4.744727,-4.914021,-4.631774,1200.0,1.929381,M,NASA_DONKI
-4.823909,-5.221294,-4.731682,1200.0,3.260651,M,NASA_DONKI
-4.958607,-5.120633,-4.802956,360.0,2.058909,M,NASA_DONKI
-4.920819,-5.061918,-5.010062,780.0,1.207266,M,NASA_DONKI
-5.0,-5.099252,-4.626417,960.0,3.18562,M,NASA_DONKI
-4.920819,-5.116684,-4.816685,600.0,2.214842,M,NASA_DONKI
-4.79588,-4.836641,-4.71082,420.0,1.247248,M,NASA_DONKI
-4.537602,-4.775892,-4.354552,840.0,2.653684,M,NASA_DONKI
-4.522879,-4.654932,-4.445779,1200.0,1.668232,M,NASA_DONKI
-4.79588,-4.966919,-4.734446,960.0,1.613893,M,NASA_DONKI
-4.920819,-4.941497,-4.758317,480.0,1.592043,M,NASA_DONKI
-5.187087,-5.286527,-5.071472,540.0,1.772482,C,NASA_DONKI
-4.886057,-5.012429,-4.842041,780.0,1.42994,M,NASA_DONKI
-4.853872,-4.863981,-4.810654,1440.0,1.195217,M,NASA_DONKI
-4.853872,-4.98045,-4.778752,600.0,1.597584,M,NASA_DONKI
-5.0,-5.119014,-5.021469,720.0,1.063827,M,NASA_DONKI
-5.229148,-5.463471,-5.049404,780.0,2.634655,C,NASA_DONKI
-4.958607,-5.178004,-4.914629,1080.0,1.982135,M,NASA_DONKI
-5.0,-5.105269,-4.876666,1500.0,1.763197,M,NASA_DONKI
